"hgroup","genesymbol_source","genesymbol_target"
19783,"Zfp746","ZNF746"
19792,"BC027072","C2orf71"
19803,"Adamtsl5","ADAMTSL5"
19806,"Ascl4","ASCL4"
19813,"Fdxacb1","FDXACB1"
19814,"Ankrd34c","ANKRD34C"
19815,"Gpr98","GPR98"
19818,"Fam212a","FAM212A"
19824,"Glyatl3","GLYATL3"
19835,"Topaz1","TOPAZ1"
19837,"Fbxo41","FBXO41"
19844,"Foxr1","FOXR1"
19853,"AI464131","KIAA1161"
19857,"Ceacam16","CEACAM16"
19876,"Olfr322","OR2W3"
19879,"Sp6","SP6"
19885,"Tmem240","TMEM240"
19919,"Tvp23a","TVP23A"
19922,"Gatc","GATC"
19923,"2310009B15Rik","C1orf53"
19936,"Ermard","ERMARD"
19938,"Ttc9b","TTC9B"
19940,"Trpm1","TRPM1"
19943,"Gm996","C9orf172"
19952,"Efcab7","EFCAB7"
19960,"Ripply2","RIPPLY2"
19997,"Rprd2","RPRD2"
20002,"Sh2d5","SH2D5"
20003,"Zbtb42","ZBTB42"
20006,"Eppk1","EPPK1"
20043,"Iqcf5","IQCF5"
20046,"Pfn4","PFN4"
20056,"Xkr9","XKR9"
20057,"Acads","ACADS"
20058,"Acvrl1","ACVRL1"
20060,"Aldob","ALDOB"
20063,"Atp7b","ATP7B"
20064,"Avpr2","AVPR2"
20065,"Bche","BCHE"
20071,"Col4a4","COL4A4"
20077,"F13a1","F13A1"
20078,"Fuca1","FUCA1"
20079,"G6pc","G6PC"
20081,"Gipr","GIPR"
20083,"Glra1","GLRA1"
20084,"Gnat1","GNAT1"
20086,"Cfh","CFH"
20088,"Hsd11b2","HSD11B2"
20089,"Hsd17b3","HSD17B3"
20090,"Insr","INSR"
20091,"Itga6","ITGA6"
20092,"Itgb2","ITGB2"
20097,"Mut","MUT"
20099,"Myl3","MYL3"
20100,"Myo5a","MYO5A"
20101,"Pfkm","PFKM"
20103,"Serpina1e","SERPINA1"
20103,"Serpina1a","SERPINA1"
20103,"Serpina1c","SERPINA1"
20103,"Serpina1b","SERPINA1"
20103,"Serpina1d","SERPINA1"
20104,"Pkd2","PKD2"
20108,"Rpe65","RPE65"
20113,"Serpina7","SERPINA7"
20119,"Col5a2","COL5A2"
20123,"Egr2","EGR2"
20128,"L1cam","L1CAM"
20132,"Slc26a4","SLC26A4"
20135,"Ak1","AK1"
20137,"Aqp2","AQP2"
20138,"Arsa","ARSA"
20139,"Serpinc1","SERPINC1"
20144,"Epx","EPX"
20146,"Hexa","HEXA"
20147,"Hoxd13","HOXD13"
20148,"Htr1a","HTR1A"
20151,"Ren1","REN"
20152,"Cd53","CD53"
20155,"Gpx1","GPX1"
20156,"Spp1","SPP1"
20159,"Serpina5","SERPINA5"
20162,"Adh4","ADH4"
20165,"Adora1","ADORA1"
20166,"Adora2a","ADORA2A"
20167,"Adora2b","ADORA2B"
20170,"Adra2c","ADRA2C"
20171,"Adrb1","ADRB1"
20172,"Agtr2","AGTR2"
20175,"Aldh3a1","ALDH3A1"
20179,"Amy1","AMY2A"
20182,"Atp4b","ATP4B"
20183,"Car4","CA4"
20184,"Cacna1b","CACNA1B"
20185,"Cacna1e","CACNA1E"
20186,"Cacnb1","CACNB1"
20187,"Cacnb3","CACNB3"
20188,"Cacnb4","CACNB4"
20189,"Chrm1","CHRM1"
20190,"Chrm2","CHRM2"
20191,"Chrm3","CHRM3"
20192,"Chrm4","CHRM4"
20193,"Chrna2","CHRNA2"
20196,"Chrnb4","CHRNB4"
20215,"Drd4","DRD4"
20216,"Drd5","DRD5"
20217,"Gabra2","GABRA2"
20218,"Gabra3","GABRA3"
20219,"Gabra5","GABRA5"
20220,"Gabra6","GABRA6"
20221,"Gabrb1","GABRB1"
20223,"Gad2","GAD2"
20224,"Glrb","GLRB"
20225,"Gria2","GRIA2"
20226,"Gria1","GRIA1"
20227,"Gria4","GRIA4"
20229,"Grm2","GRM2"
20230,"Grm4","GRM4"
20232,"Grm6","GRM6"
20233,"Grm7","GRM7"
20240,"Htr1d","HTR1D"
20242,"Htr2c","HTR2C"
20243,"Htr4","HTR4"
20244,"Htr7","HTR7"
20247,"Itgb7","ITGB7"
20248,"Kcnj5","KCNJ5"
20249,"Kcnj2","KCNJ2"
20251,"Maob","MAOB"
20252,"Oprd1","OPRD1"
20253,"Oprk1","OPRK1"
20255,"Oxtr","OXTR"
20256,"Pde4c","PDE4C"
20260,"Ptafr","PTAFR"
20261,"Ptger4","PTGER4"
20262,"Rara","RARA"
20263,"Rarg","RARG"
20277,"Rrm2","RRM2"
20280,"Scnn1g","SCNN1G"
20283,"Slc12a2","SLC12A2"
20285,"Sstr3","SSTR3"
20286,"Sstr4","SSTR4"
20287,"Sstr5","SSTR5"
20288,"Tacr1","TACR1"
20312,"Anxa5","ANXA5"
20318,"Arhgdib","ARHGDIB"
20319,"Arl1","ARL1"
20320,"Bcat1","BCAT1"
20322,"Bmpr1b","BMPR1B"
20324,"Car6","CA6"
20325,"Car9","CA9"
20327,"Car12","CA12"
20329,"Casq1","CASQ1"
20330,"Casq2","CASQ2"
20331,"Serpinh1","SERPINH1"
20332,"Cbr3","CBR3"
20333,"Entpd2","ENTPD2"
20335,"Cdh13","CDH13"
20342,"Ap1s1","AP1S1"
20343,"Clic1","CLIC1"
20344,"Ccr1","CCR1"
20347,"Crmp1","CRMP1"
20350,"Cx3cr1","CX3CR1"
20352,"Dgkq","DGKQ"
20353,"Dapk3","DAPK3"
20357,"Dnah9","DNAH9"
20359,"Dpys","DPYS"
20361,"Dpysl3","DPYSL3"
20362,"Dtna","DTNA"
20363,"Eef1g","EEF1G"
20364,"Eif1a","EIF1AX"
20367,"Elavl1","ELAVL1"
20372,"Fhl2","FHL2"
20373,"Foxc1","FOXC1"
20377,"Fzd2","FZD2"
20378,"B4galt1","B4GALT1"
20379,"Gle1","GLE1"
20380,"Gpr39","GPR39"
20386,"Ndst1","NDST1"
20388,"Ing2","ING2"
20391,"Acvr2a","ACVR2A"
20393,"Anxa8","ANXA8L1"
20393,"Anxa8","ANXA8"
20396,"Aplp2","APLP2"
20398,"Aqp5","AQP5"
20399,"Aqp6","AQP6"
20403,"Arhgap4","ARHGAP4"
20410,"Bmp7","BMP7"
20411,"Bmx","BMX"
20412,"Hc","C5"
20413,"C5ar1","C5AR1"
20414,"Car1","CA1"
20417,"Serpina6","SERPINA6"
20419,"Ccnd3","CCND3"
20420,"Cd9","CD9"
20422,"Cd37","CD37"
20423,"Entpd1","ENTPD1"
20424,"Cdh2","CDH2"
20425,"Cdh3","CDH3"
20429,"Cenpe","CENPE"
20432,"Ckm","CKM"
20435,"Clcn3","CLCN3"
20436,"Ccr3","CCR3"
20437,"Col4a1","COL4A1"
20438,"Col9a3","COL9A3"
20444,"Csnk2a2","CSNK2A2"
20445,"Cspg4","CSPG4"
20446,"Ctps","CTPS1"
20453,"Cfd","CFD"
20454,"Cela1","CELA1"
20455,"Elane","ELANE"
20457,"Erbb3","ERBB3"
20458,"Ezh1","EZH1"
20461,"Fgfr4","FGFR4"
20466,"Fpr1","FPR1"
20470,"Gabrr1","GABRR1"
20471,"Gabrr2","GABRR2"
20474,"Gna11","GNA11"
20477,"Gpc1","GPC1"
20479,"Gpx2","GPX2"
20480,"Gpx3","GPX3"
20482,"Grsf1","GRSF1"
20485,"Gzmk","GZMK"
20489,"Hck","HCK"
20490,"Hdc","HDC"
20494,"Rbmx","RBMX"
20498,"Hpn","HPN"
20500,"Hspe1","HSPE1"
20508,"Itga5","ITGA5"
20510,"Itgav","ITGAV"
20511,"Itgb5","ITGB5"
20512,"Cd82","CD82"
20514,"Kcna4","KCNA4"
20515,"Kcng1","KCNG1"
20516,"Kcnn3","KCNN3"
20517,"Kcns1","KCNS1"
20518,"Kcns3","KCNS3"
20520,"Kpna3","KPNA3"
20521,"Kpna4","KPNA4"
20523,"Krt4","KRT4"
20532,"Lrch4","LRCH4"
20533,"Lsamp","LSAMP"
20538,"Matn2","MATN2"
20539,"Mcc","MCC"
20544,"Mmp1a","MMP1"
20545,"Mmp3","MMP3"
20546,"Mmp10","MMP10"
20547,"Mmp12","MMP12"
20548,"Mmp13","MMP13"
20549,"Mmp15","MMP15"
20553,"Myh3","MYH3"
20558,"Myl4","MYL4"
20559,"Ndn","NDN"
20560,"Nmbr","NMBR"
20562,"Nme3","NME3"
20568,"P2ry4","P2RY4"
20569,"Pcsk6","PCSK6"
20571,"Serpinb2","SERPINB2"
20574,"Pbx1","PBX1"
20579,"Pfkp","PFKP"
20580,"Serpinb5","SERPINB5"
20581,"Pik3c2a","PIK3C2A"
20582,"Pik3c2b","PIK3C2B"
20584,"Pitx1","PITX1"
20589,"Pmp2","PMP2"
20595,"Ppp2r3a","PPP2R3A"
20602,"Prkcg","PRKCG"
20613,"Prss8","PRSS8"
20616,"Psmb10","PSMB10"
20621,"Ptpra","PTPRA"
20623,"Ptprf","PTPRF"
20626,"Ptprs","PTPRS"
20628,"Rab2a","RAB2A"
20629,"Rab3a","RAB3A"
20632,"Ralb","RALB"
20637,"Rcn1","RCN1"
20652,"Sh3gl2","SH3GL2"
20654,"Siah1a","SIAH1"
20655,"Slc1a4","SLC1A4"
20658,"Slc7a1","SLC7A1"
20659,"Slc7a2","SLC7A2"
20660,"Slc9a1","SLC9A1"
20661,"Slc9a2","SLC9A2"
20662,"Slc16a1","SLC16A1"
20663,"Slc34a1","SLC34A1"
20664,"Slc18a1","SLC18A1"
20665,"Slc22a1","SLC22A1"
20670,"Smarcd1","SMARCD1"
20671,"Smarcd2","SMARCD2"
20672,"Snrnp70","SNRNP70"
20679,"Stat4","STAT4"
20680,"Stat5a","STAT5A"
20681,"Stim1","STIM1"
20684,"Tcea3","TCEA3"
20685,"Nfe2l1","NFE2L1"
20688,"Tfap2b","TFAP2B"
20689,"Tgm4","TGM4"
20690,"Tgm3","TGM3"
20691,"Thbs4","THBS4"
20692,"Tia1","TIA1"
20693,"Tle2","TLE2"
20694,"Tlr1","TLR1"
20695,"Tlr2","TLR2"
20696,"Tlr3","TLR3"
20698,"Tlr5","TLR5"
20700,"Tspan6","TSPAN6"
20701,"Tmod1","TMOD1"
20704,"Tnnt1","TNNT1"
20707,"Trhr","TRHR"
20708,"Trpc3","TRPC3"
20709,"Trpm2","TRPM2"
20711,"Tulp3","TULP3"
20712,"Tyk2","TYK2"
20714,"Ube2d1","UBE2D1"
20715,"Ugt8a","UGT8"
20716,"Usp4","USP4"
20718,"Clip2","CLIP2"
20719,"Wnt2","WNT2"
20720,"Wnt5a","WNT5A"
20721,"Wnt10b","WNT10B"
20722,"Wnt9a","WNT9A"
20724,"Ywhab","YWHAB"
20729,"Zfp7","ZNF7"
20737,"Zfp189","ZNF189"
20739,"Cxcr4","CXCR4"
20742,"Csrp3","CSRP3"
20744,"Ptp4a2","PTP4A2"
20748,"Dysf","DYSF"
20750,"Fzd1","FZD1"
20751,"Fzd7","FZD7"
20789,"Tagln2","TAGLN2"
20791,"Bfsp2","BFSP2"
20793,"Stk24","STK24"
20794,"Nck2","NCK2"
20796,"Doc2b","DOC2B"
20798,"Galr3","GALR3"
20802,"Ppfia1","PPFIA1"
20803,"Ndst2","NDST2"
20807,"Lgr5","LGR5"
20811,"Hsd17b6","HSD17B6"
20819,"Srsf9","SRSF9"
20824,"Adam9","ADAM9"
20827,"Nr5a2","NR5A2"
20829,"Pex11a","PEX11A"
20830,"Trim24","TRIM24"
20831,"Hesx1","HESX1"
20832,"Inpp4b","INPP4B"
20834,"Kat2b","KAT2B"
20839,"Cpne3","CPNE3"
20842,"Rab7l1","RAB7L1"
20844,"Baiap3","BAIAP3"
20847,"Trio","TRIO"
20850,"Taar5","TAAR5"
20851,"Map7","MAP7"
20856,"Dmd","DMD"
20857,"Anxa2","ANXA2"
20860,"Bdh1","BDH1"
20861,"Car8","CA8"
20865,"Plk3","PLK3"
20867,"Ctss","CTSS"
20868,"Coch","COCH"
20869,"Dlg1","DLG1"
20870,"Dusp3","DUSP3"
20871,"Foxs1","FOXS1"
20874,"Gng10","GNG10"
20879,"Rab27b","RAB27B"
20881,"Slc1a1","SLC1A1"
20882,"Slc1a3","SLC1A3"
20883,"Slc7a4","SLC7A4"
20885,"Sema3f","SEMA3F"
20888,"Chrna6","CHRNA6"
20889,"Syt7","SYT7"
20891,"Slc28a2","SLC28A2"
20897,"Trip11","TRIP11"
20899,"Tgm5","TGM5"
20900,"Rab9","RAB9A"
20901,"Slc22a8","SLC22A8"
20902,"Rab3d","RAB3D"
20903,"Mtrf1","MTRF1"
20906,"Acvr1b","ACVR1B"
20908,"Anxa13","ANXA13"
20909,"Arhgap1","ARHGAP1"
20910,"Asph","ASPH"
20911,"Bmpr1a","BMPR1A"
20915,"Cd81","CD81"
20916,"Cd151","CD151"
20917,"Cdh1","CDH1"
20920,"Crhr1","CRHR1"
20922,"Ddx10","DDX10"
20926,"Dvl1","DVL1"
20927,"Dvl2","DVL2"
20928,"Dvl3","DVL3"
20929,"Epha2","EPHA2"
20930,"Elavl2","ELAVL2"
20931,"Eml1","EML1"
20933,"Epha4","EPHA4"
20935,"Epha7","EPHA7"
20936,"Ephb1","EPHB1"
20938,"Ephb3","EPHB3"
20939,"Ephb4","EPHB4"
20940,"Ephb6","EPHB6"
20944,"Gpc3","GPC3"
20949,"Kcnq3","KCNQ3"
20952,"Lrp2","LRP2"
20956,"Serpinb6a","SERPINB6"
20957,"Plcb2","PLCB2"
20959,"Pou4f2","POU4F2"
20965,"Tra2b","TRA2B"
20966,"Srebf2","SREBF2"
20967,"Tspan7","TSPAN7"
20968,"Tspan8","TSPAN8"
20969,"Wnt7a","WNT7A"
20970,"Wnt11","WNT11"
20972,"Sema3b","SEMA3B"
20973,"Mllt10","MLLT10"
20974,"Nphs1","NPHS1"
20976,"Lin7a","LIN7A"
20979,"Pias2","PIAS2"
20983,"Krt75","KRT75"
20984,"Slc16a6","SLC16A6"
20985,"Slc16a5","SLC16A5"
20987,"Syngr2","SYNGR2"
20990,"Slc16a7","SLC16A7"
20993,"Gcnt3","GCNT3"
20994,"Dhrs3","DHRS3"
20999,"Asic3","ASIC3"
21001,"Mmp20","MMP20"
21002,"Med1","MED1"
21004,"Tm9sf2","TM9SF2"
21005,"Nrxn1","NRXN1"
21007,"Grap2","GRAP2"
21008,"Ntn1","NTN1"
21009,"Themis2","THEMIS2"
21010,"Rock2","ROCK2"
21013,"Chst10","CHST10"
21014,"Fxr2","FXR2"
21020,"Pdia4","PDIA4"
21021,"Vps9d1","VPS9D1"
21022,"Abcg1","ABCG1"
21025,"Aqp3","AQP3"
21026,"Calb1","CALB1"
21027,"Cdh6","CDH6"
21030,"Dock3","DOCK3"
21032,"Hnrnpf","HNRNPF"
21033,"Jak2","JAK2"
21034,"Kcna2","KCNA2"
21035,"Kcnd1","KCND1"
21036,"Kcnd3","KCND3"
21040,"Mmp14","MMP14"
21041,"Nrcam","NRCAM"
21043,"Pde1a","PDE1A"
21045,"Serpini1","SERPINI1"
21047,"Ppara","PPARA"
21051,"Rorc","RORC"
21053,"Siah2","SIAH2"
21055,"Slc1a6","SLC1A6"
21056,"Slc12a4","SLC12A4"
21058,"Tle1","TLE1"
21059,"Tle3","TLE3"
21061,"Zrsr2","ZRSR2"
21063,"Fez1","FEZ1"
21064,"Brdt","BRDT"
21067,"Med13","MED13"
21068,"Dopey2","DOPEY2"
21069,"Slc12a6","SLC12A6"
21072,"Adrbk2","ADRBK2"
21073,"Aldoc","ALDOC"
21074,"Rnd3","RND3"
21080,"Ccr8","CCR8"
21081,"Dcc","DCC"
21083,"Epha3","EPHA3"
21084,"Erbb4","ERBB4"
21085,"Etv3","ETV3"
21086,"Mecom","MECOM"
21087,"F2rl1","F2RL1"
21091,"Foxc2","FOXC2"
21092,"Gnat2","GNAT2"
21094,"Gpr1","GPR1"
21095,"Xcr1","XCR1"
21096,"Npbwr1","NPBWR1"
21097,"Mchr1","MCHR1"
21098,"Grpr","GRPR"
21099,"Gzmm","GZMM"
21113,"Myo1a","MYO1A"
21120,"Src","SRC"
21123,"Rnd2","RND2"
21124,"Naaladl1","NAALADL1"
21127,"Slc17a4","SLC17A4"
21129,"Itga3","ITGA3"
21130,"Abca1","ABCA1"
21132,"Scarb1","SCARB1"
21135,"Ccr4","CCR4"
21136,"Dmxl1","DMXL1"
21137,"Mnx1","MNX1"
21142,"Inhbc","INHBC"
21145,"Krt16","KRT16"
21146,"Lama1","LAMA1"
21148,"Lnpep","LNPEP"
21149,"Bcam","BCAM"
21150,"Mdfi","MDFI"
21151,"Atp8b1","ATP8B1"
21153,"Rbbp4","RBBP4"
21155,"Slc1a5","SLC1A5"
21158,"Nr2f1","NR2F1"
21163,"Taf1c","TAF1C"
21164,"Abcc5","ABCC5"
21165,"Nr1h3","NR1H3"
21166,"Edil3","EDIL3"
21167,"Gipc1","GIPC1"
21168,"Tspan3","TSPAN3"
21169,"Tspan2","TSPAN2"
21170,"Tspan1","TSPAN1"
21173,"Actr1a","ACTR1A"
21175,"Trim28","TRIM28"
21177,"Rbm5","RBM5"
21179,"Calcrl","CALCRL"
21182,"Prdx2","PRDX2"
21183,"Gdf11","GDF11"
21191,"Stag1","STAG1"
21192,"Cwc27","CWC27"
21193,"Dnaja2","DNAJA2"
21195,"Idh1","IDH1"
21196,"Smad1","SMAD1"
21197,"Smad2","SMAD2"
21198,"Smad9","SMAD9"
21202,"Mllt4","MLLT4"
21207,"Mtnr1a","MTNR1A"
21214,"Zbtb16","ZBTB16"
21215,"Zfand5","ZFAND5"
21216,"Arid1a","ARID1A"
21218,"Lipg","LIPG"
21220,"Hs3st2","HS3ST2"
21221,"Apbb3","APBB3"
21222,"Lamc3","LAMC3"
21223,"Tlr6","TLR6"
21228,"Coro2b","CORO2B"
21230,"Myl9","MYL9"
21231,"Rapgef3","RAPGEF3"
21234,"Tmem50b","TMEM50B"
21237,"Gzma","GZMA"
21239,"Lgals4","LGALS4"
21240,"Lpo","LPO"
21241,"Npy5r","NPY5R"
21243,"Pbx3","PBX3"
21244,"Pcsk5","PCSK5"
21247,"Serpine2","SERPINE2"
21248,"Serpini2","SERPINI2"
21249,"Pik3ca","PIK3CA"
21250,"Pik3cb","PIK3CB"
21252,"Plcd1","PLCD1"
21253,"Pnliprp1","PNLIPRP1"
21255,"Pou4f1","POU4F1"
21263,"Prkcq","PRKCQ"
21265,"Dpf2","DPF2"
21267,"Tln1","TLN1"
21268,"Zkscan8","ZKSCAN8"
21274,"Lrrn2","LRRN2"
21276,"Zbtb18","ZBTB18"
21280,"Crtap","CRTAP"
21282,"Sema4d","SEMA4D"
21289,"Pdlim5","PDLIM5"
21290,"Trim3","TRIM3"
21295,"Fbln1","FBLN1"
21296,"Nova1","NOVA1"
21300,"Scn10a","SCN10A"
21304,"Dynlt3","DYNLT3"
21312,"Slc12a7","SLC12A7"
21314,"Chl1","CHL1"
21317,"Plk2","PLK2"
21318,"Arpp19","ARPP19"
21319,"Slc17a3","SLC17A3"
21321,"Mthfd2","MTHFD2"
21322,"Hsph1","HSPH1"
21324,"Cplx1","CPLX1"
21327,"Slc1a7","SLC1A7"
21328,"Slc22a7","SLC22A7"
21330,"Actl7b","ACTL7B"
21331,"Mmp24","MMP24"
21333,"Pnpla6","PNPLA6"
21334,"Gadd45g","GADD45G"
21341,"Ifrd2","IFRD2"
21353,"Rab38","RAB38"
21355,"Kif2c","KIF2C"
21357,"Glipr1","GLIPR1"
21360,"Tmed1","TMED1"
21361,"Rab35","RAB35"
21362,"Dstn","DSTN"
21366,"Zfhx3","ZFHX3"
21371,"Myo9a","MYO9A"
21373,"Rxrg","RXRG"
21375,"Scn1a","SCN1A"
21378,"Sox5","SOX5"
21381,"Adamts1","ADAMTS1"
21383,"Upk1a","UPK1A"
21385,"Wwp1","WWP1"
21389,"Tppp","TPPP"
21392,"Capn11","CAPN11"
21397,"Nr1h2","NR1H2"
21398,"Utrn","UTRN"
21401,"Zxdb","ZXDB"
21404,"Cit","CIT"
21408,"Abcf2","ABCF2"
21409,"Anxa10","ANXA10"
21410,"Klk8","KLK8"
21411,"Fzd10","FZD10"
21412,"Praf2","PRAF2"
21413,"Car5b","CA5B"
21414,"Pacsin2","PACSIN2"
21416,"Klhl2","KLHL2"
21417,"Klf12","KLF12"
21419,"Slco2b1","SLCO2B1"
21422,"Ctrc","CTRC"
21428,"Stat1","STAT1"
21477,"Prmt1","PRMT1"
21542,"Pgk1","PGK1"
21564,"Ptpro","PTPRO"
21600,"Ranbp1","RANBP1"
21610,"Sptlc2","SPTLC2"
21620,"Tm9sf4","TM9SF4"
21661,"Fhit","FHIT"
21744,"Ak3","AK3"
21832,"Nalcn","NALCN"
21848,"Gykl1","GK"
21853,"Tmlhe","TMLHE"
21858,"Slc25a16","SLC25A16"
21915,"Atp9b","ATP9B"
21941,"Slc13a5","SLC13A5"
21972,"Ap1b1","AP1B1"
22002,"Uba1","UBA1"
22068,"Vps13a","VPS13A"
22082,"Med14","MED14"
22125,"Mospd2","MOSPD2"
22211,"Pak7","PAK7"
22217,"Zcchc7","ZCCHC7"
22219,"Eif1b","EIF1B"
22223,"Decr2","DECR2"
22239,"Polr1d","POLR1D"
22278,"Paqr4","PAQR4"
22337,"Tagln3","TAGLN3"
22370,"Rrp12","RRP12"
22397,"Ap4e1","AP4E1"
22398,"Gna12","GNA12"
22400,"Adcy6","ADCY6"
22401,"Angpt2","ANGPT2"
22409,"Rhod","RHOD"
22410,"Hnrnpd","HNRNPD"
22411,"Bcap29","BCAP29"
22412,"Bmp5","BMP5"
22416,"Cdk11b","CDK11A"
22419,"Ackr3","ACKR3"
22421,"Col13a1","COL13A1"
22423,"Col8a1","COL8A1"
22426,"Cux2","CUX2"
22430,"Dcn","DCN"
22431,"Dhh","DHH"
22436,"Epha8","EPHA8"
22443,"Gabrg2","GABRG2"
22444,"Gabrg3","GABRG3"
22453,"Hcn3","HCN3"
22455,"Hes2","HES2"
22456,"Hiat1","HIAT1"
22461,"Htr5a","HTR5A"
22462,"Ifit1","IFIT1B"
22465,"Kcns2","KCNS2"
22468,"Klc2","KLC2"
22472,"Kpna6","KPNA6"
22473,"Krt84","KRT84"
22475,"Lfng","LFNG"
22477,"Ltb4r1","LTB4R"
22482,"Mmp8","MMP8"
22494,"Pax3","PAX3"
22495,"Pcsk4","PCSK4"
22500,"Ptp4a3","PTP4A3"
22515,"Slk","SLK"
22516,"Syt2","SYT2"
22519,"Tnfaip1","TNFAIP1"
22520,"Traf2","TRAF2"
22522,"Tspyl1","TSPYL1"
22524,"Ucp1","UCP1"
22525,"Wnt10a","WNT10A"
22526,"Wnt2b","WNT2B"
22527,"Wnt3","WNT3"
22528,"Wnt3a","WNT3A"
22529,"Wnt4","WNT4"
22530,"Wnt5b","WNT5B"
22531,"Wnt7b","WNT7B"
22542,"Atrn","ATRN"
22544,"Cacna1g","CACNA1G"
22546,"Ccr9","CCR9"
22547,"Col11a2","COL11A2"
22548,"Cpt1b","CPT1B"
22558,"Dlx1","DLX1"
22559,"Dmwd","DMWD"
22560,"Dpp6","DPP6"
22561,"Drd2","DRD2"
22566,"Fgfr2","FGFR2"
22567,"Nup62-il4i1","IL4I1"
22567,"Il4i1","IL4I1"
22568,"Fkbp7","FKBP7"
22570,"Gabrg1","GABRG1"
22574,"Gnaz","GNAZ"
22575,"Gng3","GNG3"
22586,"Ihh","IHH"
22589,"Kif13a","KIF13A"
22604,"Nkx2-6","NKX2-6"
22608,"Olfr56","OR2V1"
22609,"Oprl1","OPRL1"
22610,"Hspa4l","HSPA4L"
22614,"Pdcd6ip","PDCD6IP"
22621,"Ptcra","PTCRA"
22623,"Rab19","RAB19"
22627,"Itsn2","ITSN2"
22628,"Cyfip1","CYFIP1"
22630,"Slc22a3","SLC22A3"
22631,"Sox6","SOX6"
22648,"Lin7b","LIN7B"
22649,"Lin7c","LIN7C"
22650,"Vill","VILL"
22651,"Baz1b","BAZ1B"
22659,"Ikzf2","IKZF2"
22663,"Fiz1","FIZ1"
22664,"Fyb","FYB"
22669,"Mmp17","MMP17"
22672,"Tenm2","TENM2"
22673,"Tenm3","TENM3"
22674,"Pacsin1","PACSIN1"
22678,"Avpr1b","AVPR1B"
22681,"Plod2","PLOD2"
22682,"Sema4g","SEMA4G"
22684,"Slc7a11","SLC7A11"
22685,"Cops7a","COPS7A"
22687,"Ern2","ERN2"
22689,"Trpc7","TRPC7"
22691,"Atp1b4","ATP1B4"
22693,"Ap3m1","AP3M1"
22695,"Angptl2","ANGPTL2"
22696,"Bace2","BACE2"
22697,"Chrm5","CHRM5"
22702,"Gca","GCA"
22704,"Rhoq","RHOQ"
22705,"Hey2","HEY2"
22708,"Itgb1bp2","ITGB1BP2"
22710,"Morf4l2","MORF4L2"
22712,"Lphn2","LPHN2"
22716,"Tspan15","TSPAN15"
22718,"Serpinb13","SERPINB13"
22722,"Fscn2","FSCN2"
22724,"Ssbp2","SSBP2"
22725,"Ywhag","YWHAG"
22726,"Gls","GLS"
22728,"Mylpf","MYLPF"
22738,"Scn5a","SCN5A"
22739,"Stk39","STK39"
22740,"Dnajc15","DNAJC15"
22742,"Tbk1","TBK1"
22747,"Purg","PURG"
22748,"Dpp7","DPP7"
22750,"Cyth4","CYTH4"
22752,"Prickle4","PRICKLE4"
22753,"Fads1","FADS1"
22754,"Tonsl","TONSL"
22758,"Add1","ADD1"
22759,"Anxa11","ANXA11"
22761,"Dsc1","DSC1"
22767,"Ldhc","LDHC"
22775,"Srr","SRR"
22778,"Mmel1","MMEL1"
22782,"Ermap","ERMAP"
22783,"Abca7","ABCA7"
22784,"Abcf3","ABCF3"
22785,"Ndrg2","NDRG2"
22790,"Mapk8ip3","MAPK8IP3"
22798,"Gabrp","GABRP"
22799,"Impa2","IMPA2"
22800,"Slc25a13","SLC25A13"
22803,"Adamts7","ADAMTS7"
22806,"Aipl1","AIPL1"
22807,"Mtch1","MTCH1"
22808,"Zfp318","ZNF318"
22809,"Clec4e","CLEC4E"
22810,"Repin1","REPIN1"
22811,"Kcnv1","KCNV1"
22812,"Pkd2l2","PKD2L2"
22815,"Rab30","RAB30"
22816,"Rps6ka6","RPS6KA6"
22817,"Tmod2","TMOD2"
22818,"Trpm5","TRPM5"
22823,"Lmcd1","LMCD1"
22824,"Kcnip1","KCNIP1"
22825,"Ehd2","EHD2"
22826,"Nphs2","NPHS2"
22827,"Arhgef10","ARHGEF10"
22828,"Ppm1f","PPM1F"
22830,"Pum1","PUM1"
22835,"Acap1","ACAP1"
22836,"Clstn3","CLSTN3"
22837,"Stard8","STARD8"
22838,"Kmt2b","KMT2B"
22840,"Rassf2","RASSF2"
22844,"Cep170","CEP170"
22848,"Ppm1e","PPM1E"
22851,"Mlxip","MLXIP"
22853,"Acin1","ACIN1"
22855,"Wdfy3","WDFY3"
22857,"Xpo7","XPO7"
22858,"Pdxdc1","PDXDC1"
22860,"Gga2","GGA2"
22861,"Trak2","TRAK2"
22862,"Cdk19","CDK19"
22865,"Colgalt2","COLGALT2"
22866,"Plxnd1","PLXND1"
22867,"Dcun1d4","DCUN1D4"
22869,"Fcho1","FCHO1"
22870,"Slc35d1","SLC35D1"
22873,"Rhobtb2","RHOBTB2"
22875,"Sik2","SIK2"
22876,"Plcb1","PLCB1"
22877,"Pds5a","PDS5A"
22878,"Lphn3","LPHN3"
22880,"Ehbp1","EHBP1"
22882,"Trim2","TRIM2"
22888,"Fam19a5","FAM19A5"
22889,"Abhd14a","ABHD14A"
22894,"Rchy1","RCHY1"
22898,"Nsl1","NSL1"
22899,"Rwdd3","RWDD3"
22902,"Necap1","NECAP1"
22904,"Moxd1","MOXD1"
22906,"Dnm3","DNM3"
22907,"Auts2","AUTS2"
22910,"Abhd12","ABHD12"
